k1,k2,teicher2015,tuominen2022,joint
33,11,0.314234,0.19576,0.264087
33,12,0.347893,0.156066,0.266055
33,13,0.421898,0.256962,0.350082
33,14,0.302234,0.27132,0.280891
33,15,0.358123,0.0996359,0.26484
33,16,0.405716,0.0862889,0.261468
33,17,0.543803,0.416718,0.488483
33,18,0.258832,0.251942,0.249314
33,19,0.27656,0.232813,0.260321
33,20,0.167324,0.101451,0.146085
33,21,0.146839,0.204249,0.180913
33,22,0.246545,0.268937,0.257926
33,23,0.256125,0.255992,0.257079
33,24,0.368153,0.304664,0.343273
33,25,0.477269,0.336452,0.421214
33,26,0.355575,0.231327,0.31318
33,27,0.215772,0.203205,0.210956
33,28,0.309665,0.165344,0.254152
33,29,0.651158,0.694571,0.667569
33,30,0.597154,0.543628,0.576822
33,31,0.58677,0.564623,0.579745
33,32,0.832847,0.833348,0.828698
34,0,0.27428,0.263184,0.275849
34,1,0.310201,0.365927,0.334967
34,2,0.314802,0.276681,0.301598
34,3,0.278161,0.298035,0.290243
34,4,0.437007,0.361467,0.40655
34,5,0.270986,0.322915,0.294102
34,6,0.214491,0.410717,0.309001
34,7,0.321521,0.60041,0.432756
34,8,-0.00912232,0.207844,0.07572
34,9,0.150365,0.234393,0.182974
34,10,0.166743,0.325045,0.240905
34,11,0.450837,0.401185,0.430161
34,12,0.475393,0.209551,0.367075
34,13,0.49598,0.255695,0.396989
34,14,0.290122,0.160916,0.230945
34,15,0.42207,0.204009,0.342905
34,16,0.454315,0.284539,0.375523
34,17,0.465074,0.533787,0.492022
34,18,0.284569,0.284811,0.276939
34,19,0.363192,0.361467,0.362858
34,20,0.286011,0.122842,0.222105
34,21,0.226272,0.201064,0.219781
34,22,0.28453,0.337298,0.309054
34,23,0.268314,0.257355,0.264338
34,24,0.387912,0.288795,0.348927
34,25,0.515609,0.198767,0.364139
34,26,0.397522,0.133374,0.287235
34,27,0.165342,0.292238,0.216744
34,28,0.214093,0.195567,0.207439
34,29,0.51011,0.600381,0.546666
34,30,0.596799,0.60423,0.600985
34,31,0.479695,0.576408,0.524029
34,32,0.676649,0.795326,0.722553
34,33,0.901891,0.914651,0.906771
35,0,0.359861,0.179883,0.292146
35,1,0.371349,0.274713,0.340109
35,2,0.22206,0.28497,0.251796
35,3,0.198454,0.328157,0.261161
35,4,0.179383,0.20266,0.192839
35,5,0.206408,0.287682,0.243025
35,6,0.154798,0.245749,0.203679
35,7,-0.0467931,0.205052,0.0583767
35,8,0.0621413,0.210689,0.123896
35,9,0.0160552,0.274821,0.12758
35,10,0.069258,0.15012,0.115123
35,11,0.279743,0.488014,0.398036
35,12,0.0775158,0.452823,0.306283
35,13,-0.0278307,0.488528,0.306508
35,14,0.226398,0.168271,0.189164
35,15,-0.0513618,0.304184,0.135805
35,16,0.269838,0.160743,0.217263
35,17,0.277055,0.107543,0.205639
35,18,0.42184,0.535649,0.456021
35,19,0.588357,0.614209,0.59859
35,20,0.117015,0.196116,0.164347
35,21,0.146994,0.356937,0.265319
35,22,-0.0136871,0.29062,0.14763
35,23,0.22963,0.206561,0.221268
35,24,0.129623,0.305726,0.209623
35,25,0.370999,0.212946,0.304493
35,26,0.375462,0.252387,0.330316
35,27,0.452427,0.262856,0.369658
35,28,0.186407,0.214758,0.199375
35,29,0.378242,0.378008,0.377678
35,30,0.32429,0.303854,0.318783
