k1,k2,mu,lb,ub,pval
33,27,-0.004917,-0.049755,0.041622,0.444
33,28,0.03235,-0.008027,0.077948,0.799
33,29,0.087477,0.026046,0.149025,0.97025
33,30,-0.036067,-0.108445,0.041124,0.28425
33,31,0.006727,-0.066342,0.072698,0.555
33,32,0.060824,-0.002291,0.122277,0.90675
34,0,-0.027199,-0.069251,0.014083,0.2545
34,1,0.014373,-0.020736,0.050112,0.653
34,2,0.010792,-0.026652,0.049417,0.61075
34,3,0.015415,-0.020941,0.054926,0.6385
34,4,0.043213,-0.010232,0.093704,0.80525
34,5,-0.010372,-0.04388,0.024144,0.391
34,6,-0.02083,-0.066989,0.024688,0.325
34,7,-0.031295,-0.082928,0.01816,0.29275
34,8,-0.02515,-0.073953,0.025571,0.25
34,9,-0.017754,-0.056492,0.022315,0.3185
34,10,0.004177,-0.030717,0.038052,0.5575
34,11,0.024189,-0.025585,0.075566,0.68875
34,12,0.048137,-0.001689,0.097037,0.81625
34,13,0.00785,-0.050738,0.065804,0.553
34,14,-0.005092,-0.054796,0.046804,0.45675
34,15,0.071293,0.001405,0.138505,0.868
34,16,0.040558,-0.032375,0.111428,0.733
34,17,0.003306,-0.094369,0.088128,0.5395
34,18,-0.013281,-0.055636,0.027389,0.396
34,19,0.003571,-0.048582,0.04624,0.5355
34,20,0.016343,-0.040955,0.067044,0.638
34,21,-0.007245,-0.070725,0.052234,0.44725
34,22,0.012501,-0.047914,0.07033,0.61575
34,23,-0.039312,-0.08723,0.005878,0.1945
34,24,0.023778,-0.034035,0.085447,0.6845
34,25,0.022612,-0.01028,0.055224,0.75325
34,26,0.016138,-0.017926,0.054072,0.68675
34,27,-0.01813,-0.053325,0.014563,0.3065
34,28,-0.01749,-0.052404,0.0165,0.3165
34,29,-0.011818,-0.072991,0.041304,0.4055
34,30,-0.015101,-0.085424,0.059033,0.42425
34,31,-0.077392,-0.134457,-0.023707,0.08375
34,32,-0.025455,-0.049659,-0.000487,0.17925
34,33,0.109364,0.031254,0.193179,0.95175
35,0,0.000138,-0.053979,0.056115,0.50025
35,1,0.026425,-0.025637,0.075796,0.731
35,2,-0.04894,-0.098445,0.002702,0.13325
35,3,-0.021412,-0.074475,0.031351,0.329
35,4,0.021453,-0.0325,0.074001,0.67025
35,5,-0.012555,-0.064875,0.034967,0.3895
35,6,-0.019147,-0.070893,0.034107,0.34675
35,7,-0.026447,-0.075143,0.019609,0.28775
35,8,-0.018413,-0.074557,0.034017,0.322
35,9,-0.002959,-0.051929,0.045518,0.468
35,10,-0.04995,-0.098545,0.001438,0.12675
35,11,-0.049379,-0.123347,0.018426,0.20525
35,12,-0.056888,-0.118014,0.00315,0.155
35,13,-0.065855,-0.128415,-0.008581,0.118
35,14,-0.018817,-0.081822,0.043327,0.36425
35,15,-0.025178,-0.094913,0.031573,0.334
35,16,0.017096,-0.053742,0.083393,0.6135
35,17,0.009281,-0.060559,0.078272,0.5825
35,18,-0.127272,-0.203942,-0.049954,0.019
35,19,-0.093553,-0.194939,0.000245,0.1105
35,20,-0.040195,-0.099473,0.022268,0.20725
35,21,0.020025,-0.039531,0.077497,0.66325
35,22,-0.027023,-0.084152,0.024884,0.299
