	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
tau_pr[1]	2.5	0.0017	0.14	2.2	2.5	2.7	6859.0	9.4	1.0
tau_pr[2]	1.4	0.00085	0.073	1.2	1.4	1.5	7387.0	10.0	1.0
tau_pr[3]	2.6	0.0017	0.15	2.3	2.6	2.8	8101.0	11.0	1.0
tau_pr[4]	7.3	0.0062	0.55	6.5	7.3	8.3	7918.0	11.0	1.0
tau_pr[5]	38.0	0.071	5.4	30.0	37.0	47.0	5855.0	8.0	1.0
tau_pr[6]	2.3	0.0015	0.12	2.1	2.3	2.6	7039.0	9.6	1.0
tau_pr[7]	56.0	0.12	9.1	43.0	56.0	72.0	5822.0	8.0	1.0
tau_pr[8]	7.5	0.016	1.2	5.7	7.3	9.6	5758.0	7.9	1.0
tau_pr[9]	3.3	0.0041	0.27	2.9	3.3	3.7	4239.0	5.8	1.0
tau_pr[10]	2.8	0.0036	0.24	2.5	2.8	3.3	4579.0	6.3	1.0
tau_pr[11]	2.7	0.0034	0.23	2.4	2.7	3.1	4545.0	6.2	1.0
tau_pr[12]	37.0	0.067	5.5	29.0	36.0	47.0	6727.0	9.2	1.0
tau_pr[13]	106.0	0.28	21.0	76.0	103.0	144.0	5863.0	8.0	1.0
tau_pr[14]	1.4	0.0044	0.36	0.92	1.4	2.1	6596.0	9.0	1.0
tau_pr[15]	58.0	0.15	11.0	43.0	57.0	77.0	5271.0	7.2	1.0
tau_pr[16]	18.0	0.045	3.4	14.0	18.0	24.0	5729.0	7.8	1.0
tau_pr[17]	79.0	0.21	17.0	55.0	76.0	109.0	6315.0	8.6	1.0
tau_pr[18]	119.0	0.36	29.0	79.0	115.0	173.0	6539.0	8.9	1.0
tau_pr[19]	32.0	0.051	4.1	26.0	32.0	40.0	6594.0	9.0	1.0
tau_pr[20]	2.5	0.0043	0.35	1.9	2.4	3.1	6847.0	9.4	1.0
tau_pr[21]	57.0	0.14	9.4	44.0	56.0	74.0	4599.0	6.3	1.0
tau_pr[22]	4.7	0.012	0.82	3.5	4.6	6.2	4632.0	6.3	1.0
tau_pr[23]	1.3	0.0039	0.26	0.88	1.2	1.7	4644.0	6.4	1.0
tau_pr[24]	51.0	0.094	8.0	40.0	51.0	66.0	7349.0	10.0	1.0
tau_pr[25]	3.6	0.0073	0.62	2.7	3.5	4.7	7101.0	9.7	1.0
tau_pr[26]	0.59	0.00033	0.029	0.54	0.59	0.64	7537.0	10.0	1.0
tau_pr[27]	0.46	0.00028	0.023	0.42	0.46	0.5	6999.0	9.6	1.0
tau_pr[28]	0.99	0.00048	0.045	0.91	0.99	1.1	8755.0	12.0	1.0
tau_pr[29]	1.1	0.00052	0.047	0.99	1.1	1.1	8125.0	11.0	1.0
tau_pr[30]	3.7	0.0023	0.2	3.3	3.7	4.0	8094.0	11.0	1.0
tau_pr[31]	18.0	0.023	1.8	15.0	18.0	21.0	6617.0	9.1	1.0
tau_pr[32]	8.8	0.008	0.68	7.8	8.8	10.0	7272.0	9.9	1.0
tau_pr[33]	26.0	0.051	3.5	21.0	26.0	32.0	4539.0	6.2	1.0
tau_pr[34]	9.3	0.019	1.3	7.4	9.2	12.0	4699.0	6.4	1.0
tau_pr[35]	3.1	0.0067	0.46	2.4	3.0	3.9	4836.0	6.6	1.0
tau_pr[36]	13.0	0.014	1.2	11.0	13.0	15.0	7371.0	10.0	1.0
tau_pr[37]	0.4	0.00075	0.064	0.3	0.4	0.51	7375.0	10.0	1.0
tau_pr[38]	3.9	0.0026	0.23	3.5	3.8	4.2	7834.0	11.0	1.0
tau_pr[39]	2.3	0.0014	0.11	2.1	2.3	2.4	6824.0	9.3	1.0
tau_pr[40]	1.2	0.00063	0.058	1.1	1.2	1.3	8350.0	11.0	1.0
tau_pr[41]	3.5	0.0025	0.2	3.2	3.5	3.8	6411.0	8.8	1.0
tau_pr[42]	46.0	0.086	7.2	36.0	46.0	60.0	7130.0	9.8	1.0
tau_pr[43]	23.0	0.03	2.6	19.0	23.0	28.0	7784.0	11.0	1.0
tau_pr[44]	40.0	0.075	6.0	31.0	40.0	51.0	6418.0	8.8	1.0
tau_pr[45]	52.0	0.098	8.3	40.0	51.0	67.0	7173.0	9.8	1.0
tau_pr[46]	23.0	0.032	2.8	19.0	23.0	28.0	7777.0	11.0	1.0
tau_pr[47]	38.0	0.069	5.7	29.0	37.0	48.0	6879.0	9.4	1.0
tau_pr[48]	1.9	0.001	0.093	1.7	1.9	2.1	8768.0	12.0	1.0
tau_pr[49]	1.6	0.0008	0.076	1.5	1.6	1.7	8844.0	12.0	1.0
tau_pr[50]	2.3	0.0012	0.11	2.1	2.3	2.5	8567.0	12.0	1.0
tau_pr[51]	10.0	0.0095	0.87	9.0	10.0	12.0	8468.0	12.0	1.0
tau_pr[52]	9.5	0.0087	0.77	8.3	9.4	11.0	7923.0	11.0	1.0
tau_pr[53]	21.0	0.29	21.0	1.1	14.0	63.0	5155.0	7.1	1.0
tau_pr[54]	21.0	0.28	21.0	1.1	15.0	64.0	5817.0	8.0	1.0
tau_pr[55]	21.0	0.32	22.0	0.93	14.0	64.0	4790.0	6.6	1.0
tau_pr[56]	21.0	0.27	21.0	1.1	15.0	64.0	6278.0	8.6	1.0
tau_pr[57]	21.0	0.28	22.0	0.94	15.0	65.0	6379.0	8.7	1.0
tau_pr[58]	21.0	0.28	21.0	1.0	14.0	64.0	5790.0	7.9	1.0
