	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[7,676]	-0.53	0.012	0.89	-2.0	-0.5	0.88	5528.0	0.52	1.0
theta[8,676]	1.4	0.009	0.63	0.43	1.4	2.5	4897.0	0.46	1.0
theta[9,676]	-0.17	0.011	0.91	-1.7	-0.14	1.3	6734.0	0.64	1.0
theta[10,676]	0.022	0.012	0.97	-1.6	0.026	1.6	7020.0	0.66	1.0
theta[11,676]	0.034	0.012	1.0	-1.6	0.054	1.7	6794.0	0.64	1.0
theta[1,677]	-1.7	0.0085	0.64	-2.8	-1.6	-0.69	5650.0	0.53	1.0
theta[2,677]	-0.066	0.011	0.99	-1.8	-0.039	1.5	7967.0	0.75	1.0
theta[3,677]	-0.22	0.011	0.87	-1.7	-0.2	1.2	6159.0	0.58	1.0
theta[4,677]	-0.067	0.011	1.0	-1.8	-0.06	1.5	7840.0	0.74	1.0
theta[5,677]	-0.52	0.011	0.74	-1.8	-0.47	0.59	4958.0	0.47	1.0
theta[6,677]	-0.019	0.011	0.98	-1.6	-0.0046	1.6	7608.0	0.72	1.0
theta[7,677]	-0.082	0.01	0.88	-1.6	-0.031	1.3	7307.0	0.69	1.0
theta[8,677]	-0.7	0.0098	0.72	-2.0	-0.66	0.4	5420.0	0.51	1.0
theta[9,677]	-0.027	0.011	0.92	-1.6	-0.011	1.4	6891.0	0.65	1.0
theta[10,677]	-0.032	0.012	0.97	-1.6	-0.037	1.6	6930.0	0.66	1.0
theta[11,677]	-0.041	0.011	0.97	-1.7	-0.017	1.5	8023.0	0.76	1.0
theta[1,678]	-0.17	0.0052	0.36	-0.77	-0.15	0.38	4635.0	0.44	1.0
theta[2,678]	-0.11	0.011	0.92	-1.7	-0.078	1.3	6481.0	0.61	1.0
theta[3,678]	0.71	0.012	0.7	-0.42	0.7	1.9	3301.0	0.31	1.0
theta[4,678]	-0.071	0.011	0.94	-1.7	-0.037	1.4	7483.0	0.71	1.0
theta[5,678]	0.19	0.0073	0.54	-0.67	0.17	1.1	5522.0	0.52	1.0
theta[6,678]	-0.54	0.011	0.84	-1.9	-0.52	0.8	6149.0	0.58	1.0
theta[7,678]	-0.72	0.01	0.85	-2.2	-0.68	0.59	6639.0	0.63	1.0
theta[8,678]	1.3	0.0089	0.71	0.23	1.3	2.5	6291.0	0.59	1.0
theta[9,678]	2.0	0.0061	0.43	1.3	1.9	2.7	5075.0	0.48	1.0
theta[10,678]	-0.11	0.012	0.89	-1.6	-0.092	1.3	5429.0	0.51	1.0
theta[11,678]	-0.13	0.012	0.92	-1.7	-0.11	1.3	5732.0	0.54	1.0
theta[1,679]	1.5	0.0045	0.28	1.1	1.5	2.0	3808.0	0.36	1.0
theta[2,679]	-0.29	0.011	0.84	-1.7	-0.26	1.0	6398.0	0.61	1.0
theta[3,679]	-0.4	0.013	0.69	-1.5	-0.4	0.75	2611.0	0.25	1.0
theta[4,679]	-0.51	0.011	0.82	-1.9	-0.47	0.76	5583.0	0.53	1.0
theta[5,679]	0.95	0.0096	0.75	-0.27	0.91	2.2	6036.0	0.57	1.0
theta[6,679]	0.33	0.012	0.9	-1.1	0.3	1.9	5705.0	0.54	1.0
theta[7,679]	1.2	0.0063	0.46	0.51	1.2	2.0	5351.0	0.51	1.0
theta[8,679]	0.57	0.0099	0.74	-0.59	0.52	1.8	5643.0	0.53	1.0
theta[9,679]	1.2	0.0064	0.44	0.54	1.2	2.0	4705.0	0.44	1.0
theta[10,679]	0.73	0.0071	0.49	-0.079	0.73	1.5	4797.0	0.45	1.0
theta[11,679]	-0.0063	0.012	1.0	-1.6	0.011	1.7	6532.0	0.62	1.0
theta[1,680]	-1.7	0.0089	0.66	-2.8	-1.6	-0.68	5471.0	0.52	1.0
theta[2,680]	-0.069	0.011	0.97	-1.6	-0.069	1.5	7512.0	0.71	1.0
theta[3,680]	-0.23	0.011	0.89	-1.7	-0.22	1.2	6403.0	0.61	1.0
theta[4,680]	-0.049	0.012	0.95	-1.6	-0.026	1.5	6730.0	0.64	1.0
theta[5,680]	-0.55	0.011	0.75	-1.9	-0.49	0.57	4537.0	0.43	1.0
theta[6,680]	-0.033	0.012	0.96	-1.6	-0.035	1.6	6593.0	0.62	1.0
theta[7,680]	-0.091	0.01	0.88	-1.6	-0.045	1.3	7010.0	0.66	1.0
theta[8,680]	-0.71	0.01	0.73	-2.0	-0.66	0.42	5316.0	0.5	1.0
theta[9,680]	-0.065	0.012	0.94	-1.7	-0.032	1.4	6321.0	0.6	1.0
theta[10,680]	-0.032	0.012	0.99	-1.6	-0.046	1.6	7405.0	0.7	1.0
theta[11,680]	-0.024	0.012	1.0	-1.7	-6.6e-05	1.6	6850.0	0.65	1.0
theta[1,681]	-0.14	0.0056	0.35	-0.75	-0.12	0.4	3911.0	0.37	1.0
theta[2,681]	-0.18	0.011	0.93	-1.7	-0.15	1.3	6884.0	0.65	1.0
theta[3,681]	-0.67	0.011	0.81	-2.1	-0.62	0.61	5700.0	0.54	1.0
theta[4,681]	-0.15	0.011	0.95	-1.8	-0.12	1.4	7530.0	0.71	1.0
theta[5,681]	0.91	0.0098	0.63	-0.11	0.89	2.0	4194.0	0.4	1.0
theta[6,681]	-0.4	0.011	0.85	-1.9	-0.36	0.99	5891.0	0.56	1.0
theta[7,681]	0.62	0.0077	0.55	-0.31	0.66	1.5	5078.0	0.48	1.0
theta[8,681]	-0.67	0.0067	0.49	-1.5	-0.64	0.1	5446.0	0.51	1.0
theta[9,681]	-0.19	0.011	0.84	-1.7	-0.13	1.1	6038.0	0.57	1.0
theta[10,681]	-0.19	0.011	0.89	-1.7	-0.16	1.2	6518.0	0.62	1.0
theta[11,681]	-0.18	0.015	0.93	-1.8	-0.16	1.3	3940.0	0.37	1.0
theta[1,682]	-0.39	0.0059	0.4	-1.1	-0.36	0.23	4492.0	0.42	1.0
theta[2,682]	-0.078	0.011	0.94	-1.7	-0.041	1.4	7165.0	0.68	1.0
theta[3,682]	0.22	0.013	0.74	-0.98	0.22	1.4	3253.0	0.31	1.0
theta[4,682]	-0.083	0.012	0.94	-1.7	-0.076	1.5	6649.0	0.63	1.0
theta[5,682]	0.27	0.0076	0.56	-0.61	0.24	1.2	5367.0	0.51	1.0
theta[6,682]	-0.38	0.011	0.86	-1.8	-0.35	0.98	5942.0	0.56	1.0
