	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[21,1]	-1.3	0.0059	0.48	-2.2	-1.3	-0.59	6869.0	5.9	1.0
theta[22,1]	-0.41	0.0038	0.33	-0.95	-0.39	0.098	7565.0	6.5	1.0
theta[23,1]	0.044	0.0028	0.28	-0.43	0.048	0.5	9802.0	8.4	1.0
theta[24,1]	-1.3	0.0055	0.47	-2.1	-1.3	-0.57	7302.0	6.3	1.0
theta[25,1]	-0.3	0.0034	0.33	-0.87	-0.28	0.21	9301.0	8.0	1.0
theta[26,1]	-1.4	0.0053	0.5	-2.3	-1.3	-0.63	8731.0	7.5	1.0
theta[27,1]	-0.15	0.003	0.3	-0.66	-0.14	0.32	10197.0	8.8	1.0
theta[28,1]	0.6	0.003	0.27	0.14	0.59	1.1	8113.0	7.0	1.0
theta[29,1]	0.59	0.003	0.27	0.15	0.59	1.0	8270.0	7.1	1.0
theta[30,1]	-0.71	0.0045	0.38	-1.4	-0.69	-0.14	7265.0	6.2	1.0
theta[31,1]	0.63	0.0026	0.27	0.2	0.63	1.1	10780.0	9.3	1.0
theta[32,1]	-0.68	0.0043	0.38	-1.3	-0.66	-0.097	7765.0	6.7	1.0
theta[33,1]	-0.85	0.0047	0.39	-1.5	-0.82	-0.27	6756.0	5.8	1.0
theta[34,1]	-0.97	0.005	0.43	-1.7	-0.95	-0.31	7346.0	6.3	1.0
theta[35,1]	1.2	0.0032	0.29	0.72	1.2	1.7	8157.0	7.0	1.0
theta[36,1]	-0.7	0.004	0.37	-1.4	-0.68	-0.13	8738.0	7.5	1.0
theta[37,1]	-1.4	0.006	0.51	-2.3	-1.4	-0.68	7113.0	6.1	1.0
theta[38,1]	-0.26	0.0034	0.32	-0.78	-0.25	0.25	8988.0	7.7	1.0
theta[39,1]	-0.22	0.0034	0.29	-0.71	-0.21	0.25	7603.0	6.5	1.0
theta[40,1]	-1.9	0.0072	0.62	-3.0	-1.9	-0.93	7268.0	6.3	1.0
theta[41,1]	-1.9	0.0073	0.61	-3.0	-1.9	-0.94	7123.0	6.1	1.0
theta[42,1]	-0.56	0.0038	0.34	-1.2	-0.54	-0.022	8455.0	7.3	1.0
theta[43,1]	0.078	0.0029	0.27	-0.37	0.08	0.51	8809.0	7.6	1.0
theta[44,1]	0.03	0.003	0.29	-0.46	0.036	0.49	9108.0	7.8	1.0
theta[45,1]	-1.1	0.0056	0.47	-1.9	-1.1	-0.44	6841.0	5.9	1.0
theta[46,1]	-1.5	0.0066	0.53	-2.5	-1.5	-0.73	6430.0	5.5	1.0
theta[47,1]	-0.99	0.005	0.42	-1.7	-0.97	-0.34	7223.0	6.2	1.0
theta[48,1]	0.088	0.0029	0.28	-0.38	0.099	0.52	9064.0	7.8	1.0
theta[49,1]	-0.56	0.0042	0.36	-1.2	-0.54	-0.02	7529.0	6.5	1.0
theta[50,1]	0.28	0.0029	0.26	-0.15	0.29	0.71	8034.0	6.9	1.0
theta[51,1]	-0.61	0.0045	0.36	-1.3	-0.6	-0.04	6545.0	5.6	1.0
theta[52,1]	-1.1	0.0053	0.45	-1.9	-1.1	-0.44	7059.0	6.1	1.0
