subject,item,item_id,subscale,response,n_years
0ebo2aov3p0s87qjkp2ia86v,31,Peer_threat_money,PeerPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,32,Peer_forced,PeerPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,33,Peer_pushed,PeerPhysA,1.0,1.0
0ebo2aov3p0s87qjkp2ia86v,34,Peer_hit,PeerPhysA,1.0,1.0
0ebo2aov3p0s87qjkp2ia86v,35,Peer_hit_med,PeerPhysA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,36,Peer_forced_sex,SexA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,37,Peer_sex_not_want,SexA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,38,M_unavail_poor,EN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,39,F_unavail_poor,EN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,40,P_diff_please,NVEA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,41,P_no_time,NVEA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,42,P_loved_you,EN,0.0,3.0
0ebo2aov3p0s87qjkp2ia86v,43,P_special,EN,0.0,3.0
0ebo2aov3p0s87qjkp2ia86v,44,P_protect,PN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,45,P_ER,PN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,46,No_food,PN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,47,Dirty_clothes,PN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,48,Adult_resposibility,NVEA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,49,Financial_pressure,NVEA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,50,Kept_secrets,NVEA,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,51,Looked_out_each_other,PN,0.0,0.0
0ebo2aov3p0s87qjkp2ia86v,52,Fam_strength,EN,0.0,3.0
0iu4qs5k9054br05oho875qo,1,Swore,PVA,1.0,7.0
0iu4qs5k9054br05oho875qo,2,Hurtful,PVA,1.0,8.0
0iu4qs5k9054br05oho875qo,3,Afraid,PVA,1.0,6.0
0iu4qs5k9054br05oho875qo,4,Leave,PVA,0.0,0.0
0iu4qs5k9054br05oho875qo,5,Closet,NVEA,0.0,0.0
0iu4qs5k9054br05oho875qo,6,Pushed,PPhysA,1.0,4.0
0iu4qs5k9054br05oho875qo,7,Hit,PPhysA,1.0,4.0
0iu4qs5k9054br05oho875qo,8,Hit_med,PPhysA,0.0,0.0
0iu4qs5k9054br05oho875qo,9,Spank_open,PPhysA,0.0,0.0
0iu4qs5k9054br05oho875qo,10,Spanked_bare,PPhysA,0.0,0.0
0iu4qs5k9054br05oho875qo,11,Spanked_strap,PPhysA,0.0,0.0
0iu4qs5k9054br05oho875qo,12,Sex_comment,SexA,0.0,0.0
0iu4qs5k9054br05oho875qo,13,Fondled,SexA,1.0,2.0
0iu4qs5k9054br05oho875qo,14,Touch_them,SexA,1.0,2.0
0iu4qs5k9054br05oho875qo,15,Push_sib,WSV,1.0,4.0
0iu4qs5k9054br05oho875qo,16,Hit_sib_med,WSV,0.0,0.0
0iu4qs5k9054br05oho875qo,17,Sex_comment_sib,WSV,0.0,0.0
0iu4qs5k9054br05oho875qo,18,Fondled_sib,WSV,0.0,0.0
0iu4qs5k9054br05oho875qo,19,o_fondled,SexA,1.0,2.0
0iu4qs5k9054br05oho875qo,20,o_intercourse,SexA,1.0,2.0
0iu4qs5k9054br05oho875qo,21,Adults_push_m,WIPV,1.0,8.0
0iu4qs5k9054br05oho875qo,22,Adults_hit_m,WIPV,1.0,4.0
0iu4qs5k9054br05oho875qo,23,Adults_hit_med_m,WIPV,0.0,0.0
0iu4qs5k9054br05oho875qo,24,Adults_push_f,WIPV,1.0,4.0
0iu4qs5k9054br05oho875qo,25,Adults_hit_f,WIPV,0.0,0.0
0iu4qs5k9054br05oho875qo,26,peer_swore,PeerVA,1.0,12.0
0iu4qs5k9054br05oho875qo,27,Peer_hurtful,PeerVA,1.0,11.0
0iu4qs5k9054br05oho875qo,28,Peer_Rumors,PeerVA,1.0,4.0
0iu4qs5k9054br05oho875qo,29,Peer_Excluded,PeerVA,0.0,0.0
0iu4qs5k9054br05oho875qo,30,Peer_afraid,PeerVA,1.0,3.0
0iu4qs5k9054br05oho875qo,31,Peer_threat_money,PeerPhysA,0.0,0.0
0iu4qs5k9054br05oho875qo,32,Peer_forced,PeerPhysA,0.0,0.0
0iu4qs5k9054br05oho875qo,33,Peer_pushed,PeerPhysA,1.0,5.0
0iu4qs5k9054br05oho875qo,34,Peer_hit,PeerPhysA,1.0,2.0
0iu4qs5k9054br05oho875qo,35,Peer_hit_med,PeerPhysA,0.0,0.0
0iu4qs5k9054br05oho875qo,36,Peer_forced_sex,SexA,0.0,0.0
0iu4qs5k9054br05oho875qo,37,Peer_sex_not_want,SexA,0.0,0.0
0iu4qs5k9054br05oho875qo,38,M_unavail_poor,EN,1.0,10.0
0iu4qs5k9054br05oho875qo,39,F_unavail_poor,EN,1.0,13.0
0iu4qs5k9054br05oho875qo,40,P_diff_please,NVEA,1.0,14.0
0iu4qs5k9054br05oho875qo,41,P_no_time,NVEA,1.0,9.0
0iu4qs5k9054br05oho875qo,42,P_loved_you,EN,0.0,0.0
