	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[41,1]	0.36	0.0035	0.26	-0.07	0.36	0.79	5754.0	13.0	1.0
theta[42,1]	0.15	0.0038	0.27	-0.29	0.16	0.58	4801.0	11.0	1.0
theta[43,1]	-1.4	0.0072	0.47	-2.2	-1.4	-0.67	4224.0	9.3	1.0
theta[44,1]	0.6	0.0038	0.26	0.17	0.6	1.0	4808.0	11.0	1.0
theta[45,1]	-1.3	0.0072	0.46	-2.1	-1.3	-0.62	4035.0	8.9	1.0
theta[46,1]	-0.69	0.0054	0.36	-1.3	-0.67	-0.14	4419.0	9.8	1.0
theta[47,1]	2.5	0.005	0.34	2.0	2.5	3.1	4587.0	10.0	1.0
theta[48,1]	0.83	0.0036	0.25	0.42	0.83	1.2	4945.0	11.0	1.0
theta[49,1]	-1.3	0.0078	0.47	-2.1	-1.3	-0.61	3576.0	7.9	1.0
theta[50,1]	-0.22	0.0042	0.29	-0.72	-0.21	0.24	4841.0	11.0	1.0
theta[51,1]	0.19	0.0036	0.26	-0.25	0.19	0.6	5143.0	11.0	1.0
theta[52,1]	1.1	0.0034	0.26	0.7	1.1	1.5	5610.0	12.0	1.0
theta[53,1]	-1.7	0.0088	0.54	-2.6	-1.7	-0.86	3797.0	8.4	1.0
theta[54,1]	-0.9	0.0055	0.4	-1.6	-0.87	-0.29	5128.0	11.0	1.0
theta[55,1]	0.11	0.0038	0.28	-0.36	0.12	0.57	5364.0	12.0	1.0
theta[56,1]	2.2	0.0042	0.31	1.7	2.2	2.7	5199.0	11.0	1.0
theta[57,1]	1.5	0.0039	0.28	1.1	1.5	2.0	5056.0	11.0	1.0
theta[58,1]	-2.0	0.008	0.58	-3.0	-2.0	-1.2	5285.0	12.0	1.0
theta[59,1]	-0.56	0.0047	0.33	-1.1	-0.55	-0.056	5071.0	11.0	1.0
theta[60,1]	-0.021	0.0035	0.27	-0.49	-0.019	0.42	6288.0	14.0	1.0
theta[61,1]	-1.2	0.0064	0.44	-2.0	-1.2	-0.53	4653.0	10.0	1.0
theta[62,1]	-0.15	0.0041	0.28	-0.63	-0.14	0.32	4666.0	10.0	1.0
theta[63,1]	-1.8	0.0083	0.54	-2.7	-1.7	-0.91	4209.0	9.3	1.0
theta[64,1]	0.9	0.0037	0.26	0.46	0.9	1.3	4986.0	11.0	1.0
theta[65,1]	0.54	0.0034	0.26	0.11	0.54	0.97	5740.0	13.0	1.0
