name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[5,618]	1.29	0.00925	0.643	0.275	1.28	2.37	4827.0	0.518	1.0
theta[6,618]	-0.0605	0.0103	0.934	-1.57	-0.0557	1.46	8159.0	0.876	0.999
theta[7,618]	-0.0922	0.0112	0.846	-1.59	-0.0445	1.21	5713.0	0.613	0.999
theta[8,618]	-0.779	0.00964	0.701	-2.01	-0.74	0.301	5293.0	0.568	0.999
theta[9,618]	0.0225	0.0118	0.914	-1.59	0.0545	1.46	5952.0	0.639	0.999
theta[10,618]	-0.084	0.0119	0.964	-1.74	-0.0484	1.46	6541.0	0.702	1.0
theta[11,618]	-0.0452	0.0118	0.959	-1.61	-0.0263	1.53	6640.0	0.713	1.0
theta[1,619]	-0.879	0.00684	0.486	-1.74	-0.858	-0.118	5047.0	0.542	1.0
theta[2,619]	-0.11	0.0118	0.954	-1.7	-0.105	1.41	6531.0	0.701	1.0
theta[3,619]	-0.402	0.0104	0.856	-1.86	-0.365	0.95	6802.0	0.73	1.0
theta[4,619]	-0.0258	0.0122	0.976	-1.67	0.00262	1.5	6354.0	0.682	1.0
theta[5,619]	-0.727	0.00936	0.671	-1.93	-0.662	0.276	5140.0	0.552	1.0
theta[6,619]	-0.193	0.0113	0.926	-1.74	-0.171	1.32	6758.0	0.726	1.0
theta[7,619]	0.742	0.00889	0.628	-0.359	0.783	1.7	5003.0	0.537	1.0
theta[8,619]	1.21	0.00859	0.625	0.217	1.18	2.28	5302.0	0.569	0.999
theta[9,619]	-0.242	0.0117	0.911	-1.81	-0.193	1.17	6019.0	0.646	1.0
theta[10,619]	0.0338	0.0116	0.939	-1.59	0.0713	1.52	6534.0	0.702	1.0
theta[11,619]	0.0036	0.0115	1.02	-1.66	0.00582	1.69	7798.0	0.837	0.999
theta[1,620]	0.109	0.00476	0.318	-0.429	0.111	0.611	4444.0	0.477	1.0
theta[2,620]	-0.208	0.0108	0.904	-1.73	-0.185	1.23	7030.0	0.755	1.0
theta[3,620]	1.2	0.00886	0.72	0.0867	1.16	2.44	6606.0	0.709	0.999
theta[4,620]	-0.116	0.0106	0.916	-1.68	-0.0605	1.33	7477.0	0.803	1.0
theta[5,620]	-1.17	0.00907	0.645	-2.32	-1.1	-0.226	5059.0	0.543	1.0
theta[6,620]	1.08	0.00994	0.759	-0.154	1.08	2.34	5836.0	0.627	1.0
