k1,k2,sk,lb,ub,pval
33,13,0.882857,0.852381,0.902857,0.6175
33,14,0.725537,0.686158,0.75537,0.54
33,15,0.873508,0.848449,0.902148,0.40475
33,16,0.875895,0.852029,0.906921,0.47475
33,17,0.880668,0.852029,0.906921,0.526
33,18,0.826501,0.793136,0.848427,0.57725
33,19,0.868446,0.838894,0.890372,0.6425
33,20,0.807619,0.790476,0.844762,0.22075
33,21,0.855238,0.834286,0.885714,0.30525
33,22,0.872381,0.845714,0.897143,0.47575
33,23,0.832381,0.80381,0.858095,0.48125
33,24,0.878095,0.847619,0.899048,0.6205
33,25,0.493333,0.426667,0.500952,0.93525
33,26,0.430476,0.378095,0.453333,0.7665
33,27,0.546667,0.506667,0.58,0.50625
33,28,0.572381,0.51619,0.588571,0.865
33,29,0.81619,0.709524,0.772381,1.0
33,30,0.882857,0.820952,0.875238,0.9925
33,31,0.86381,0.791429,0.847619,0.99975
33,32,0.773333,0.628571,0.69619,1.0
34,0,0.695901,0.673022,0.729266,0.354
34,1,0.601525,0.57388,0.633937,0.40125
34,2,0.705434,0.676835,0.735939,0.40125
34,3,0.848427,0.822688,0.874166,0.471
34,4,0.944709,0.91897,0.955195,0.7225
34,5,0.693333,0.664762,0.727619,0.39175
34,6,0.834286,0.815238,0.864762,0.2915
34,7,0.942857,0.92381,0.958095,0.49875
34,8,0.372381,0.347619,0.422857,0.27325
34,9,0.758095,0.725714,0.793333,0.4425
34,10,0.747619,0.718095,0.78381,0.39325
34,11,0.940952,0.92,0.954286,0.6725
34,12,0.949524,0.928571,0.961905,0.71175
34,13,0.959048,0.938095,0.968571,0.69325
34,14,0.739857,0.705251,0.775656,0.49225
34,15,0.954654,0.931981,0.966587,0.63725
34,16,0.957041,0.935561,0.968974,0.68125
34,17,0.961814,0.942721,0.976134,0.68625
34,18,0.879886,0.854147,0.901811,0.557
34,19,0.940896,0.915157,0.953289,0.70125
34,20,0.866667,0.842857,0.890476,0.50175
34,21,0.927619,0.909524,0.947619,0.43875
34,22,0.946667,0.928571,0.962857,0.525
34,23,0.887619,0.865714,0.912381,0.5
34,24,0.950476,0.930476,0.96381,0.6245
