k1,k2,stat,lb,ub,pval
25,18,-0.000136,-0.004998,0.007712,0.3315
25,19,0.001347,-0.003586,0.004174,0.7
25,20,0.002024,-0.004736,0.007282,0.5845
25,21,0.000829,-0.003633,0.004247,0.57725
25,22,0.0009,-0.002746,0.003625,0.60175
25,23,-0.005673,-0.004926,0.00663,0.014
25,24,-0.001024,-0.002903,0.003044,0.1905
26,0,-0.001377,-0.00702,0.007843,0.307
26,1,0.008974,-0.006257,0.009761,0.95875
26,2,-0.004538,-0.005333,0.009452,0.04875
26,3,-0.002219,-0.005446,0.007021,0.18975
26,4,-0.000186,-0.003041,0.003531,0.38075
26,5,0.004087,-0.006445,0.009966,0.71625
26,6,0.001338,-0.004705,0.007409,0.52775
26,7,-0.000483,-0.00245,0.003129,0.27025
26,8,-0.001432,-0.00829,0.007842,0.351
26,9,-8.3e-05,-0.007822,0.008918,0.47125
26,10,0.002894,-0.007644,0.009243,0.69625
26,11,0.000919,-0.002752,0.003578,0.6095
26,12,0.001082,-0.002612,0.003007,0.70775
26,13,-0.001221,-0.001811,0.002286,0.0795
26,14,-0.00183,-0.008003,0.010066,0.26525
26,15,0.001868,-0.002071,0.003206,0.88725
26,16,-0.000937,-0.002571,0.002756,0.18175
26,17,-0.000463,-0.001994,0.002636,0.208
26,18,0.003019,-0.005376,0.006411,0.8155
26,19,0.000313,-0.003332,0.003614,0.565
26,20,-0.000794,-0.005197,0.005971,0.32
26,21,-0.000923,-0.003595,0.003789,0.26425
26,22,0.000573,-0.002365,0.003443,0.539
26,23,0.001613,-0.004519,0.005654,0.69925
26,24,2.9e-05,-0.002682,0.003024,0.4645
26,25,0.009966,0.037494,0.061054,0.00025
27,0,0.006566,-0.008395,0.011302,0.86875
27,1,0.003315,-0.007664,0.013,0.541
27,2,-0.000909,-0.005742,0.014417,0.15525
27,3,0.008951,-0.006519,0.010013,0.958
27,4,0.002039,-0.003804,0.004991,0.7435
27,5,-0.001053,-0.007088,0.013994,0.18125
27,6,0.004521,-0.005557,0.010215,0.72025
27,7,7.4e-05,-0.003618,0.004497,0.3845
27,8,-0.003131,-0.009402,0.010802,0.2215
27,9,-0.007091,-0.010154,0.01134,0.07875
27,10,0.000339,-0.007444,0.01251,0.3495
27,11,0.000195,-0.003641,0.005217,0.3685
27,12,-0.001729,-0.003137,0.004951,0.104
27,13,9e-05,-0.002433,0.003184,0.392
27,14,0.00124,-0.009103,0.014115,0.40025
27,15,0.003183,-0.003451,0.003969,0.92625
27,16,0.001114,-0.003495,0.004085,0.69375
27,17,-0.001049,-0.002723,0.003405,0.1845
27,18,0.000422,-0.006709,0.008467,0.44575
27,19,0.001044,-0.004432,0.004958,0.64125
27,20,0.002499,-0.005625,0.009057,0.58625
27,21,-0.000693,-0.004347,0.005246,0.28525
27,22,0.000573,-0.003197,0.004639,0.535
27,23,-0.004168,-0.005886,0.007955,0.0625
27,24,0.000874,-0.003737,0.003783,0.61775
27,25,0.001171,0.026326,0.050094,0.0
27,26,0.00388,0.026956,0.049173,0.00025
28,0,-0.004834,-0.009829,0.009539,0.16925
28,1,0.004637,-0.009179,0.011206,0.7735
28,2,-0.000856,-0.008913,0.010962,0.32125
28,3,0.005746,-0.008297,0.009145,0.87
28,4,0.003093,-0.004193,0.005284,0.86125
28,5,0.000322,-0.009601,0.012067,0.428
28,6,-0.001747,-0.007235,0.009448,0.2225
28,7,0.00258,-0.003956,0.004459,0.834
28,8,0.000728,-0.010145,0.009769,0.533
28,9,3.3e-05,-0.00944,0.012124,0.44925
28,10,-0.00697,-0.009135,0.011616,0.0645
28,11,-0.001573,-0.003696,0.006028,0.1625
28,12,-0.000276,-0.003722,0.004836,0.3245
28,13,-0.000163,-0.002762,0.003547,0.359
28,14,-0.005908,-0.01032,0.013484,0.1105
28,15,0.003825,-0.003766,0.004557,0.9495
28,16,-0.001015,-0.003969,0.004109,0.27325
28,17,-0.001989,-0.003342,0.003549,0.0915
28,18,-8.2e-05,-0.007542,0.008099,0.47625
28,19,-0.003383,-0.004829,0.004866,0.08675
28,20,0.001683,-0.005988,0.008718,0.54625
28,21,-0.000376,-0.004381,0.005238,0.34725
28,22,-1.1e-05,-0.003229,0.004713,0.40025
28,23,0.001909,-0.006394,0.007537,0.6255
28,24,0.001428,-0.003616,0.003927,0.75625
28,25,-0.003316,0.027343,0.052311,0.0
28,26,0.002382,0.028874,0.051932,0.00025
28,27,0.021196,0.027705,0.054783,0.00175
29,0,-0.000374,-0.007493,0.011839,0.33875
29,1,0.000741,-0.005776,0.013292,0.296
29,2,-0.002281,-0.00343,0.015339,0.0385
29,3,8.5e-05,-0.005852,0.011786,0.30475
29,4,0.001955,-0.003378,0.006012,0.6725
29,5,-0.002499,-0.005003,0.015142,0.06125
29,6,-0.007749,-0.005329,0.011674,0.0065
29,7,0.000295,-0.003512,0.00573,0.37975
29,8,-0.003292,-0.008553,0.008895,0.20825
29,9,0.005763,-0.010531,0.009325,0.865
29,10,-0.003294,-0.008296,0.011288,0.15525
29,11,-0.002251,-0.003583,0.006849,0.0665
29,12,-0.000987,-0.002887,0.0063,0.1345
29,13,-0.002051,-0.002681,0.004235,0.04825
29,14,-0.002754,-0.00669,0.015825,0.11475
29,15,-0.000484,-0.003525,0.005255,0.2635
29,16,-0.000535,-0.004003,0.004309,0.347
29,17,-0.001376,-0.00295,0.004143,0.1465
29,18,-0.003079,-0.006342,0.009552,0.1265
29,19,-0.004571,-0.004398,0.005383,0.026
29,20,-0.006915,-0.005662,0.00896,0.0105
29,21,-0.000118,-0.004782,0.005239,0.427
29,22,-0.002951,-0.003693,0.004394,0.06175
29,23,0.001898,-0.005616,0.008665,0.57025
29,24,0.00029,-0.003598,0.004455,0.49275
29,25,0.010571,0.008299,0.026318,0.0785
29,26,0.003446,0.006215,0.022359,0.0045
29,27,-0.012009,0.009388,0.031127,0.0
29,28,0.009836,0.010242,0.033449,0.02025
30,0,0.001988,-0.004232,0.006872,0.6015
30,1,0.003971,-0.003476,0.00665,0.8365
30,2,-0.001419,-0.003371,0.007535,0.09325
30,3,0.002742,-0.004335,0.006819,0.701
30,4,0.00133,-0.002794,0.004038,0.65925
30,5,-0.003601,-0.004239,0.007455,0.03275
30,6,-0.000926,-0.00399,0.007316,0.1745
30,7,0.000604,-0.002439,0.004269,0.4835
30,8,0.000771,-0.004581,0.004709,0.627
30,9,0.004159,-0.005951,0.00591,0.90825
30,10,0.002565,-0.004893,0.006824,0.76575
30,11,-0.000947,-0.002649,0.00495,0.1475
30,12,-0.001604,-0.002717,0.004184,0.06775
30,13,-0.001769,-0.001984,0.003344,0.03325
30,14,-0.006213,-0.005283,0.0085,0.00975
30,15,0.00051,-0.002727,0.003914,0.51425
30,16,0.000136,-0.002976,0.003321,0.4985
30,17,-0.001277,-0.002715,0.003015,0.153
30,18,0.001668,-0.004474,0.005904,0.634
30,19,-0.000217,-0.003174,0.003549,0.4165
30,20,-0.001368,-0.004195,0.005486,0.187
30,21,0.001324,-0.003159,0.003509,0.76825
30,22,0.00076,-0.002659,0.00314,0.66375
30,23,0.000725,-0.004161,0.004851,0.5425
30,24,0.000583,-0.002636,0.003179,0.60425
30,25,0.00474,-0.004944,0.004908,0.9605
30,26,0.001935,-0.004223,0.004407,0.8045
30,27,0.001481,-0.005816,0.006121,0.6645
30,28,0.004666,-0.006148,0.006245,0.93825
30,29,0.008474,-0.005883,0.006736,0.99525
31,0,0.001048,-0.005346,0.008603,0.40125
31,1,0.002473,-0.004445,0.008649,0.5335
31,2,-0.007468,-0.004207,0.010108,0.0015
31,3,0.000548,-0.005053,0.008452,0.39125
31,4,-0.002262,-0.003553,0.004477,0.07925
31,5,-0.003636,-0.005646,0.009524,0.06575
31,6,-0.003885,-0.005147,0.008559,0.04575
31,7,-0.000446,-0.002994,0.004745,0.28
31,8,-0.000179,-0.005497,0.006791,0.44375
31,9,0.004124,-0.007335,0.007802,0.865
31,10,-0.000601,-0.006943,0.008189,0.33975
31,11,0.00031,-0.003428,0.005576,0.39625
