	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[3,54]	-0.42	0.016	0.9	-1.9	-0.4	1.0	3241.0	1.5	1.0
theta[4,54]	-0.02	0.016	0.96	-1.6	0.0051	1.5	3652.0	1.7	1.0
theta[5,54]	-0.84	0.012	0.68	-2.0	-0.79	0.17	3089.0	1.5	1.0
theta[6,54]	-0.41	0.014	0.83	-1.8	-0.39	0.95	3353.0	1.6	1.0
theta[7,54]	0.96	0.012	0.57	-0.043	0.99	1.8	2323.0	1.1	1.0
theta[8,54]	0.85	0.011	0.59	-0.09	0.82	1.8	3178.0	1.5	1.0
theta[9,54]	-0.22	0.015	0.89	-1.8	-0.17	1.1	3626.0	1.7	1.0
theta[10,54]	-0.024	0.015	0.91	-1.5	-0.013	1.4	3542.0	1.7	1.0
theta[11,54]	0.0037	0.015	0.96	-1.6	-0.0069	1.6	3873.0	1.8	1.0
theta[1,55]	0.34	0.0066	0.29	-0.15	0.35	0.82	2006.0	0.95	1.0
theta[2,55]	-0.53	0.013	0.77	-1.9	-0.47	0.66	3394.0	1.6	1.0
theta[3,55]	0.12	0.029	0.76	-1.2	0.13	1.3	699.0	0.33	1.0
theta[4,55]	0.47	0.013	0.75	-0.78	0.51	1.6	3332.0	1.6	1.0
theta[5,55]	-0.64	0.011	0.54	-1.5	-0.65	0.25	2177.0	1.0	1.0
theta[6,55]	-0.18	0.016	0.7	-1.3	-0.19	0.99	1959.0	0.93	1.0
theta[7,55]	-0.61	0.012	0.72	-1.9	-0.56	0.47	3337.0	1.6	1.0
theta[8,55]	-0.27	0.0095	0.52	-1.1	-0.29	0.62	2991.0	1.4	1.0
theta[9,55]	-0.4	0.014	0.79	-1.8	-0.34	0.78	3261.0	1.5	1.0
theta[10,55]	-0.48	0.013	0.8	-1.9	-0.43	0.72	3542.0	1.7	1.0
theta[11,55]	1.7	0.03	0.87	0.25	1.8	3.0	835.0	0.4	1.0
theta[1,56]	2.4	0.0081	0.33	1.8	2.4	2.9	1658.0	0.79	1.0
theta[2,56]	-1.0	0.011	0.59	-2.1	-1.0	-0.14	2994.0	1.4	1.0
theta[3,56]	0.3	0.015	0.91	-1.1	0.28	1.9	3943.0	1.9	1.0
theta[4,56]	-0.27	0.015	0.71	-1.4	-0.29	0.91	2339.0	1.1	1.0
theta[5,56]	0.67	0.012	0.73	-0.5	0.64	1.9	3399.0	1.6	1.0
theta[6,56]	0.13	0.015	0.98	-1.5	0.11	1.8	4482.0	2.1	1.0
theta[7,56]	0.89	0.01	0.56	-0.014	0.87	1.9	3094.0	1.5	1.0
theta[8,56]	-0.45	0.013	0.73	-1.6	-0.49	0.83	3225.0	1.5	1.0
theta[9,56]	-0.29	0.0097	0.47	-1.1	-0.26	0.43	2394.0	1.1	1.0
theta[10,56]	-1.7	0.012	0.63	-2.8	-1.6	-0.7	2612.0	1.2	1.0
theta[11,56]	1.5	0.016	0.83	0.07	1.5	2.8	2761.0	1.3	1.0
theta[1,57]	1.6	0.0073	0.31	1.1	1.6	2.1	1842.0	0.87	1.0
theta[2,57]	1.1	0.012	0.64	0.094	1.0	2.2	2808.0	1.3	1.0
theta[3,57]	0.59	0.015	0.85	-0.76	0.57	2.0	3240.0	1.5	1.0
