k1,k2,mu,lb,ub,pval
30,14,0.001983,-0.051778,0.062676,0.53475
30,15,-0.005488,-0.053463,0.040656,0.49425
30,16,-0.039126,-0.082226,-0.000389,0.26525
30,17,-0.041156,-0.085458,0.004252,0.2665
30,18,-0.002393,-0.03671,0.030135,0.49525
30,19,0.005699,-0.034437,0.042938,0.548
30,20,-0.021943,-0.091958,0.043821,0.34625
30,21,-0.043883,-0.099955,0.01444,0.22925
30,22,0.003933,-0.04363,0.052257,0.549
30,23,0.010336,-0.023614,0.041228,0.59375
30,24,0.034326,-0.001549,0.078663,0.7325
30,25,0.055289,0.015087,0.095285,0.89475
30,26,-0.041465,-0.084456,0.00881,0.16975
30,27,-0.011575,-0.046412,0.023604,0.4075
30,28,0.057886,0.02619,0.088663,0.904
30,29,0.128125,0.069467,0.188126,0.99025
31,0,0.013163,-0.032951,0.062907,0.6035
31,1,-0.081625,-0.127715,-0.033462,0.045
31,2,-0.028029,-0.067486,0.008544,0.28725
31,3,0.010199,-0.020542,0.040117,0.59
31,4,0.035229,0.012103,0.061994,0.754
31,5,-0.050139,-0.083408,-0.017765,0.1455
31,6,-0.019213,-0.057164,0.021316,0.363
31,7,0.012081,-0.020199,0.046796,0.6035
31,8,-0.01901,-0.068418,0.034529,0.33375
31,9,0.041303,-0.002301,0.083168,0.80075
31,10,-0.021298,-0.063743,0.019486,0.3255
31,11,-0.034426,-0.078829,0.01469,0.26725
31,12,-0.063225,-0.119193,-0.014636,0.1225
31,13,-0.095518,-0.153025,-0.046196,0.04425
31,14,-0.045921,-0.097911,0.008646,0.20875
31,15,0.026683,-0.016738,0.065876,0.70525
31,16,-0.050799,-0.087096,-0.014268,0.18925
31,17,-0.026471,-0.059286,0.012988,0.3385
31,18,-0.132137,-0.185859,-0.083302,0.005
31,19,-0.019226,-0.079818,0.036637,0.37575
31,20,-0.095517,-0.155263,-0.025163,0.04725
31,21,-0.026037,-0.086538,0.036706,0.33775
31,22,0.080261,0.028453,0.129212,0.9225
31,23,0.035886,0.006986,0.066384,0.76225
31,24,0.025921,-0.009621,0.06394,0.68925
31,25,-0.004871,-0.044402,0.034935,0.45275
31,26,0.031137,-0.014908,0.076491,0.7505
31,27,0.051381,0.016989,0.084653,0.876
31,28,0.021856,-0.008353,0.051385,0.686
31,29,0.11141,0.059401,0.165651,0.9805
31,30,0.068431,0.030883,0.105926,0.8875
32,0,-0.042403,-0.103576,0.025905,0.2215
32,1,0.001809,-0.063865,0.061685,0.52275
32,2,0.03427,-0.024527,0.098388,0.73925
32,3,0.057694,-0.001105,0.11761,0.85425
32,4,-0.042499,-0.098014,0.011955,0.21175
32,5,0.067508,0.005755,0.12294,0.89375
32,6,-0.053055,-0.113288,0.005921,0.1645
32,7,-0.006567,-0.056713,0.047539,0.45525
32,8,0.029825,-0.034975,0.096101,0.70425
32,9,-0.042981,-0.098372,0.017855,0.20425
32,10,0.024391,-0.037098,0.081852,0.68125
32,11,0.033017,-0.023071,0.093421,0.72625
32,12,-0.025522,-0.082201,0.034706,0.3075
32,13,-0.029709,-0.082415,0.021813,0.28525
32,14,-0.014988,-0.086009,0.052682,0.4085
32,15,-0.061751,-0.123705,-0.004683,0.117
32,16,0.124364,0.057005,0.188748,0.97975
32,17,0.010441,-0.044108,0.064796,0.57425
32,18,0.015584,-0.037926,0.068223,0.61675
32,19,0.004439,-0.053425,0.06019,0.535
32,20,-0.000976,-0.069771,0.07393,0.4945
32,21,-0.022207,-0.094359,0.044891,0.3555
32,22,0.012289,-0.048771,0.077442,0.57975
32,23,-0.019707,-0.077915,0.038231,0.356
32,24,-0.056702,-0.112778,0.000407,0.1525
32,25,0.047445,-0.012959,0.110692,0.8205
32,26,0.028168,-0.038423,0.090287,0.711
32,27,0.030332,-0.028084,0.087794,0.7255
32,28,0.018355,-0.034674,0.071531,0.641
32,29,0.198072,0.132101,0.269199,0.99925
32,30,0.077307,0.009704,0.145354,0.91025
32,31,-0.038082,-0.098514,0.031406,0.2635
33,0,0.025706,-0.036828,0.088201,0.70325
33,1,-0.016141,-0.077062,0.047318,0.37125
33,2,-0.050578,-0.106964,0.012144,0.1835
33,3,-0.071797,-0.12916,-0.009326,0.10225
33,4,0.005009,-0.054307,0.062549,0.53775
33,5,-0.003195,-0.057512,0.056288,0.47425
33,6,0.080463,0.021495,0.142234,0.9215
33,7,-0.020862,-0.084068,0.042026,0.37025
33,8,-0.017386,-0.078954,0.045243,0.3665
33,9,0.081248,0.018287,0.140904,0.933
33,10,-0.026264,-0.083817,0.035088,0.30525
33,11,-0.029121,-0.082655,0.026482,0.3015
33,12,0.016671,-0.039636,0.068923,0.62525
33,13,0.048123,-0.00175,0.099624,0.82375
33,14,0.034218,-0.035825,0.103871,0.73125
33,15,0.0017,-0.050243,0.053759,0.525
33,16,-0.090615,-0.161629,-0.023151,0.0725
33,17,0.021105,-0.039757,0.085742,0.6455
33,18,0.029702,-0.026337,0.087936,0.70425
33,19,-0.014902,-0.078246,0.044606,0.407
33,20,-0.031589,-0.103807,0.042119,0.30275
33,21,0.009435,-0.05593,0.080368,0.5715
33,22,-0.011002,-0.078163,0.054,0.43275
33,23,0.023731,-0.040295,0.084542,0.6675
33,24,0.028139,-0.025597,0.089752,0.687
33,25,0.023651,-0.028559,0.081105,0.68675
33,26,-0.008723,-0.065048,0.054576,0.428
33,27,-0.036486,-0.090975,0.016225,0.22625
33,28,-0.02772,-0.081261,0.026998,0.2795
33,29,0.12452,0.052061,0.202196,0.979
33,30,-0.07929,-0.175249,0.003925,0.14575
33,31,0.04992,-0.030332,0.123693,0.77275
33,32,0.027193,-0.059704,0.122846,0.658
34,0,-0.021045,-0.080987,0.034492,0.34625
34,1,0.043243,-0.007939,0.095044,0.8305
34,2,-0.063045,-0.11214,-0.014518,0.11525
34,3,0.016894,-0.043695,0.074681,0.6155
34,4,0.040491,-0.029641,0.101509,0.73725
34,5,-0.024902,-0.072144,0.022119,0.31875
34,6,-0.020188,-0.078983,0.040223,0.36225
34,7,0.110649,0.022443,0.201066,0.911
