name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[3,504]	-0.192	0.00999	0.845	-1.65	-0.139	1.1	7153.0	7.08	1.0
theta[1,505]	-1.31	0.00605	0.496	-2.17	-1.28	-0.555	6739.0	6.67	1.0
theta[2,505]	-0.956	0.00861	0.763	-2.25	-0.929	0.277	7857.0	7.78	0.999
theta[3,505]	-0.177	0.0106	0.888	-1.72	-0.14	1.25	6958.0	6.89	1.0
theta[1,506]	-1.02	0.00625	0.453	-1.82	-0.994	-0.328	5247.0	5.2	0.999
theta[2,506]	0.677	0.00724	0.552	-0.271	0.691	1.56	5803.0	5.75	1.0
theta[3,506]	-0.213	0.0103	0.849	-1.67	-0.174	1.07	6737.0	6.67	1.0
theta[1,507]	-0.128	0.00473	0.315	-0.669	-0.114	0.357	4423.0	4.38	1.0
theta[2,507]	0.0839	0.00682	0.541	-0.843	0.098	0.947	6292.0	6.23	1.0
theta[3,507]	-0.507	0.00958	0.756	-1.82	-0.45	0.629	6237.0	6.18	0.999
theta[1,508]	0.729	0.00352	0.261	0.303	0.726	1.17	5496.0	5.44	1.0
theta[2,508]	0.599	0.00565	0.463	-0.152	0.601	1.34	6713.0	6.65	0.999
theta[3,508]	-0.936	0.00853	0.672	-2.15	-0.888	0.0821	6220.0	6.16	1.0
theta[1,509]	-0.299	0.00486	0.328	-0.854	-0.288	0.224	4558.0	4.51	1.0
theta[2,509]	0.0306	0.0071	0.543	-0.894	0.0524	0.884	5840.0	5.78	0.999
theta[3,509]	-0.447	0.0105	0.795	-1.85	-0.4	0.747	5775.0	5.72	1.0
theta[1,510]	0.45	0.00385	0.272	0.0007	0.458	0.881	4992.0	4.94	1.0
theta[2,510]	0.766	0.00603	0.476	-0.0149	0.775	1.54	6229.0	6.17	1.0
theta[3,510]	-0.774	0.00925	0.691	-2.0	-0.701	0.255	5582.0	5.53	0.999
theta[1,511]	0.571	0.00401	0.263	0.131	0.569	0.998	4299.0	4.26	1.0
theta[2,511]	0.26	0.00544	0.476	-0.531	0.258	1.06	7666.0	7.59	0.999
theta[3,511]	0.605	0.00559	0.424	-0.094	0.61	1.29	5749.0	5.69	1.0
theta[1,512]	0.814	0.00395	0.262	0.392	0.813	1.25	4393.0	4.35	1.0
theta[2,512]	-0.36	0.00591	0.504	-1.2	-0.341	0.437	7262.0	7.19	1.0
theta[3,512]	-0.0906	0.00589	0.453	-0.847	-0.0815	0.64	5910.0	5.85	1.0
theta[1,513]	0.0468	0.00368	0.295	-0.444	0.049	0.517	6424.0	6.36	1.0
theta[2,513]	-0.173	0.00643	0.525	-1.06	-0.162	0.662	6677.0	6.61	1.0
theta[3,513]	-0.57	0.0102	0.751	-1.92	-0.507	0.567	5467.0	5.41	1.0
theta[1,514]	0.88	0.00415	0.257	0.458	0.881	1.3	3828.0	3.79	0.999
theta[2,514]	0.167	0.00612	0.484	-0.641	0.167	0.949	6261.0	6.2	1.0
theta[3,514]	-0.131	0.00597	0.455	-0.9	-0.112	0.595	5799.0	5.74	1.0
theta[1,515]	0.859	0.00382	0.261	0.43	0.859	1.29	4681.0	4.64	1.0
theta[2,515]	1.62	0.0065	0.525	0.799	1.6	2.51	6521.0	6.46	0.999
